P,Ag,Al,Fe,K,Li,Mo,Na,Nb,V,W,Zn,Density,Tg,conductivity @30°C,EDC / kJ mol-1,source_file
38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,52.4,0.0,4.26,713.0,1.43e-09,47.18,data.xlsx
33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.9,0.0,4.7,795.0,1.32e-06,37.16,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,0.0,3.088,473.2,,,data.xlsx
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,3.616,412.5,,,data.xlsx
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.0,0.0,3.4,350.8,,,data.xlsx
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,10.0,0.0,3.092,318.2,,,data.xlsx
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,2.891,286.6,,,data.xlsx
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,10.0,0.0,3.163,267.2,,,data.xlsx
10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,77.2,0.0,0.0,3.19,237.0,,34.7346,data.xlsx
15.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,0.0,72.9,0.0,0.0,2.95,245.0,,35.69945,data.xlsx
20.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.0,68.6,0.0,0.0,2.92,256.0,,36.6643,data.xlsx
10.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,75.0,0.0,0.0,3.02,233.0,,35.69945,data.xlsx
15.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,70.8,0.0,0.0,2.99,240.0,,36.6643,data.xlsx
20.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,66.7,0.0,0.0,2.96,260.0,,38.594,data.xlsx
15.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,68.0,0.0,0.0,2.98,266.0,,36.6643,data.xlsx
20.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,64.0,0.0,0.0,2.95,277.0,,38.594,data.xlsx
15.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,0.0,63.8,0.0,0.0,2.97,268.0,,40.5237,data.xlsx
20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,60.0,0.0,0.0,2.95,274.0,,38.594,data.xlsx
50.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.8,0.0,4.02,680.0,8.53e-08,41.48855,data.xlsx
38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.3,0.0,4.55,662.0,1.66e-06,36.6643,data.xlsx
33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.4,0.0,4.75,760.0,2.4e-05,31.84005,data.xlsx
29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.7,0.0,5.0,721.0,7.74e-07,39.55885,data.xlsx
18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.3,0.0,5.68,735.0,8.04e-10,55.961299999999994,data.xlsx
56.8,0.0,0.0,0.0,0.0,43.2,0.0,0.0,0.0,0.0,0.0,0.0,2.35,263.0,2.39e-11,87.80135,data.xlsx
50.1,0.0,0.0,0.0,0.0,41.7,0.0,0.0,0.0,0.0,8.1,0.0,2.75,323.0,1.19e-10,82.01225,data.xlsx
42.0,0.0,0.0,0.0,0.0,41.6,0.0,0.0,0.0,0.0,16.3,0.0,3.25,387.0,4.7e-09,69.4692,data.xlsx
30.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,30.0,0.0,3.75,426.0,1.37e-07,57.891,data.xlsx
20.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,4.4,450.0,1.38e-06,50.172200000000004,data.xlsx
10.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,50.0,0.0,4.99,393.0,1.88e-06,50.172200000000004,data.xlsx
60.1,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.0,0.0,0.0,0.0,2.43,161.0,1.05e-12,96.485,data.xlsx
48.8,0.0,0.0,0.0,0.0,0.0,0.0,39.3,0.0,0.0,11.9,0.0,2.84,221.0,7.32e-12,88.7662,data.xlsx
38.6,0.0,0.0,0.0,0.0,0.0,0.0,39.2,0.0,0.0,22.2,0.0,3.21,290.0,1.63e-09,67.53949999999999,data.xlsx
28.5,0.0,0.0,0.0,0.0,0.0,0.0,38.4,0.0,0.0,33.11,0.0,3.78,417.0,5.08e-09,61.7504,data.xlsx
18.6,0.0,0.0,0.0,0.0,0.0,0.0,39.1,0.0,0.0,42.3,0.0,4.23,457.0,1.67e-08,56.92615,data.xlsx
8.9,0.0,0.0,0.0,0.0,0.0,0.0,39.3,0.0,0.0,51.8,0.0,4.81,389.0,6.4e-09,59.8207,data.xlsx
40.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.4,513.0,2.97e-09,66.3,data.xlsx
40.0,25.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,25.0,4.15,543.0,3.74e-10,69.0,data.xlsx
40.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,3.94,593.0,6.19e-11,73.0,data.xlsx
40.0,15.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,15.0,3.72,649.0,8.85e-12,74.7,data.xlsx
40.0,10.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0,3.53,686.0,6.12e-13,81.2,data.xlsx
40.0,5.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,5.0,3.33,714.0,5.62e-14,85.9,data.xlsx
40.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,2.91,579.0,1.94e-13,105.7,data.xlsx
40.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,25.0,2.99,607.0,6.93e-13,96.9,data.xlsx
40.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,3.1,637.0,1.58e-12,90.7,data.xlsx
40.0,0.0,0.0,0.0,0.0,15.0,30.0,0.0,0.0,0.0,0.0,15.0,3.13,658.0,1.27e-12,88.1,data.xlsx
40.0,0.0,0.0,0.0,0.0,10.0,40.0,0.0,0.0,0.0,0.0,10.0,3.16,681.0,9.7e-13,85.4,data.xlsx
40.0,0.0,0.0,0.0,0.0,5.0,50.0,0.0,0.0,0.0,0.0,5.0,3.2,701.0,1.75e-13,87.9,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,3.15,751.0,2.75e-11,54.3,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,2.93,576.0,7.88e-13,88.8,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,0.0,0.0,0.0,25.0,3.01,611.0,1.42e-12,85.1,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,20.0,3.06,645.0,1.61e-12,82.9,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,0.0,0.0,0.0,15.0,3.08,671.0,1.19e-12,82.1,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,0.0,0.0,0.0,10.0,3.1,712.0,5.61e-13,83.1,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,0.0,0.0,0.0,5.0,3.13,731.0,2.37e-13,79.6,data.xlsx
40.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.4,513.0,2.97e-09,66.3,data.xlsx
40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,4.41,557.0,6.95e-10,67.1,data.xlsx
40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,4.45,600.0,1.16e-10,71.8,data.xlsx
40.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,4.42,651.0,1.35e-11,75.6,data.xlsx
40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,4.45,729.0,2.61e-11,60.9,data.xlsx
40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,4.44,800.0,5.62e-09,47.4,data.xlsx
40.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,2.91,579.0,1.94e-13,105.7,data.xlsx
40.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,10.0,25.0,3.04,609.0,6.73e-14,103.7,data.xlsx
40.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,3.2,614.0,9.34e-15,104.2,data.xlsx
40.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,30.0,15.0,3.37,642.0,1.99e-13,72.1,data.xlsx
40.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,10.0,3.69,716.0,1.3e-10,56.1,data.xlsx
40.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,50.0,5.0,3.94,741.0,1e-08,47.0,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,4.41,793.0,4.26e-06,35.6,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,2.93,576.0,7.88e-13,88.8,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,10.0,25.0,3.26,615.0,1.44e-12,85.2,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,3.54,651.0,1.53e-12,83.8,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,30.0,15.0,3.79,689.0,5.84e-13,84.3,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,40.0,10.0,4.04,749.0,1.79e-11,60.5,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,50.0,5.0,4.24,774.0,1.29e-08,46.9,data.xlsx
