P,Ag,Al,Fe,K,Li,Mo,Na,Nb,V,W,Zn,Density,Tg,conductivity @30°C,EDC / kJ mol-1,source_file,avg_radius,avg_charge,avg_field_strength
15.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,15.0,3.78,368.0,,,data.xlsx,0.581,5.25,17.807249379608507
70.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,2.72,,,,data.xlsx,0.45799999999999996,4.9,28.050742504629735
60.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,10.0,2.95,482.0,,,data.xlsx,0.479,5.0,26.31178125794114
50.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0,3.03,538.0,,,data.xlsx,0.49999999999999994,5.1,24.572820011252546
40.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,10.0,3.11,487.0,,,data.xlsx,0.521,5.2,22.833858764563956
30.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,10.0,3.31,415.0,,,data.xlsx,0.5419999999999999,5.3,21.09489751787536
20.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,10.0,3.56,391.0,,,data.xlsx,0.563,5.4,19.355936271186767
70.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,2.72,,,,data.xlsx,0.45799999999999996,4.9,28.050742504629735
60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,2.74,386.0,,,data.xlsx,0.49400000000000005,4.6,24.953368721473215
50.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,30.0,3.0,492.0,,,data.xlsx,0.53,4.3,21.855994938316694
40.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,40.0,3.2,448.0,,,data.xlsx,0.5660000000000001,4.0,18.758621155160178
30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,50.0,3.72,449.0,,,data.xlsx,0.602,3.7,15.66124737200366
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.9,460.0,,,data.xlsx,0.56,3.5,19.139169865380843
50.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,2.96,440.0,,,data.xlsx,0.545,3.9,20.497582401848767
50.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,30.0,3.0,492.0,,,data.xlsx,0.53,4.3,21.855994938316694
50.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,20.0,3.02,514.0,,,data.xlsx,0.515,4.7,23.214407474784622
50.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0,3.03,536.0,,,data.xlsx,0.49999999999999994,5.1,24.572820011252546
50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,3.03,530.0,,,data.xlsx,0.485,5.5,25.931232547720473
56.8,0.0,0.0,0.0,0.0,43.2,0.0,0.0,0.0,0.0,0.0,0.0,2.35,263.0,2.39e-11,87.80135,data.xlsx,0.54416,3.272,20.41551246537396
47.2,0.0,0.0,0.0,0.0,43.6,9.2,0.0,0.0,0.0,0.0,0.0,2.53,314.0,6.2e-11,83.94195,data.xlsx,0.565,3.3479999999999994,18.684089171052033
37.8,0.0,0.0,0.0,0.0,41.4,20.8,0.0,0.0,0.0,0.0,0.0,2.75,353.0,1.9e-09,71.3989,data.xlsx,0.5810000000000001,3.552000000000001,17.390578335419587
30.3,0.0,0.0,0.0,0.0,40.7,29.0,0.0,0.0,0.0,0.0,0.0,2.96,379.0,3.6e-08,61.7504,data.xlsx,0.5955600000000001,3.662,16.194893271029674
20.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,3.25,355.0,1.76e-07,55.9613,data.xlsx,0.616,3.8,14.512299057566958
10.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,3.41,270.0,1.41e-07,53.066750000000006,data.xlsx,0.637,3.9,12.773337810878367
60.1,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.0,0.0,0.0,0.0,2.43,161.0,1.05e-12,96.485,data.xlsx,0.63536,3.404,21.193755651193182
50.9,0.0,0.0,0.0,0.0,0.0,9.3,39.8,0.0,0.0,0.0,0.0,2.62,260.0,5.07e-12,89.73105000000001,data.xlsx,0.65425,3.5010000000000003,19.610186561772714
