P,Ag,Al,Fe,K,Li,Mo,Na,Nb,V,W,Zn,Density,Tg,conductivity @30°C,EDC / kJ mol-1,source_file,avg_radius,avg_charge,avg_field_strength
10.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,3.16,335.0,,39.55885,data.xlsx,0.539,4.7,17.421318995143093
15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,3.08,329.0,,43.41825,data.xlsx,0.5310000000000001,4.7,18.29528211389948
10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,3.23,360.0,,35.69945,data.xlsx,0.544,4.6,16.93019111234131
16.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,3.17,368.0,,40.5237,data.xlsx,0.5344000000000001,4.6,17.978946854848974
20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,3.14,370.0,,44.3831,data.xlsx,0.528,4.6,18.678117349854084
30.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,3.09,381.0,,51.13705,data.xlsx,0.512,4.6,20.426043587366863
15.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,3.27,384.0,,38.594,data.xlsx,0.541,4.5,17.313026348295914
30.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,3.14,441.0,,50.1722,data.xlsx,0.517,4.5,19.934915704565082
20.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,3.32,415.0,,37.62915,data.xlsx,0.5379999999999999,4.4,17.69586158425052
25.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,3.36,441.0,,41.48855,data.xlsx,0.5375,4.25,17.833132878804236
30.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,3.44,454.0,,44.3831,data.xlsx,0.532,4.2,18.46153205615973
60.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,487.0,,67.53949999999999,data.xlsx,0.48400000000000004,4.2,23.705310768698062
47.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.37,0.0,0.0,2.778,468.0,,33.769749999999995,data.xlsx,0.46379200000000004,5.0,25.47214907530902
46.66,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.0,47.86,0.0,0.0,2.798,,,37.62915,data.xlsx,0.4708409159084092,4.89021097890211,24.76258023457107
44.68,0.0,0.0,11.13,0.0,0.0,0.0,0.0,0.0,44.19,0.0,0.0,2.83,487.0,,44.3831,data.xlsx,0.47964200000000007,4.7774,23.86326016812598
46.56,0.0,0.0,23.36,0.0,0.0,0.0,0.0,0.0,30.08,0.0,0.0,2.848,506.0,,46.3128,data.xlsx,0.488864,4.5328,22.990571499445224
47.3,0.0,0.0,26.19,0.0,0.0,0.0,0.0,0.0,26.51,0.0,0.0,2.929,511.0,,51.13705,data.xlsx,0.4905100000000001,4.4762,22.84193965935536
46.26,0.0,0.0,32.31,0.0,0.0,0.0,0.0,0.0,21.43,0.0,0.0,2.93,508.0,,52.1019,data.xlsx,0.49829400000000007,4.3538,22.05901480210465
47.01,0.0,0.0,41.67,0.0,0.0,0.0,0.0,0.0,11.32,0.0,0.0,3.024,494.0,,52.1019,data.xlsx,0.5064540000000001,4.1666,21.27071787331317
47.0,0.0,0.0,47.41,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,3.133,494.0,,50.1722,data.xlsx,0.5122127787221278,4.051894810518949,20.704799335326282
47.36,0.0,0.0,52.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.235,492.0,,46.3128,data.xlsx,0.516864,3.9472000000000005,20.254360716759003
40.8,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,48.6,0.0,0.0,2.87,395.0,2.07e-07,44.36,data.xlsx,0.48002,5.106,24.28781834536143
39.4,0.0,0.0,0.0,0.0,0.0,21.2,0.0,0.0,39.4,0.0,0.0,2.9,409.0,1.83e-07,44.0,data.xlsx,0.48756,5.212000000000001,24.052611562383277
39.4,0.0,0.0,0.0,0.0,0.0,31.4,0.0,0.0,29.2,0.0,0.0,2.95,442.0,5.14e-08,46.18,data.xlsx,0.49266,5.314,24.061755853023946
40.1,0.0,0.0,0.0,0.0,0.0,40.3,0.0,0.0,19.6,0.0,0.0,2.98,474.0,1.12e-08,48.11,data.xlsx,0.49599000000000004,5.403,24.19208953148336
37.9,0.0,0.0,0.0,0.0,0.0,52.2,0.0,0.0,9.9,0.0,0.0,3.04,500.0,1.95e-09,49.19,data.xlsx,0.50546,5.522,23.818214098311334
39.6,0.0,0.0,0.0,0.0,0.0,60.4,0.0,0.0,0.0,0.0,0.0,3.09,525.0,6.41e-11,52.37,data.xlsx,0.50684,5.604,24.122712851164334
55.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,10.0,0.0,0.0,2.63,352.0,7.7e-11,71.3989,data.xlsx,0.62,3.6,21.095408043676752
50.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,10.0,0.0,0.0,2.75,384.0,2e-10,67.53949999999999,data.xlsx,0.633,3.6,19.97445766711858
45.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,10.0,0.0,0.0,2.92,404.0,2.37e-10,65.6098,data.xlsx,0.6460000000000001,3.6,18.853507290560408
40.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,15.0,10.0,0.0,0.0,3.04,425.0,2.77e-10,64.64495000000001,data.xlsx,0.659,3.6,17.732556914002235
35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,10.0,0.0,0.0,3.19,452.0,3.29e-10,62.715250000000005,data.xlsx,0.672,3.6,16.611606537444064
30.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,10.0,0.0,0.0,3.32,455.0,2.21e-10,62.715250000000005,data.xlsx,0.685,3.6,15.490656160885893
25.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,30.0,10.0,0.0,0.0,3.45,465.0,1.99e-10,62.715250000000005,data.xlsx,0.6980000000000001,3.6,14.369705784327719
20.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,10.0,0.0,0.0,3.59,503.0,1.34e-10,62.715250000000005,data.xlsx,0.7110000000000001,3.6,13.248755407769547
15.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,40.0,10.0,0.0,0.0,3.78,,1.03e-10,62.715250000000005,data.xlsx,0.7240000000000001,3.6,12.127805031211375
40.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,25.0,0.0,0.0,2.97,371.0,1.44e-08,45.34795,data.xlsx,0.644,3.6,18.473518687407584
35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,25.0,0.0,0.0,3.0,348.0,1.26e-09,54.99645,data.xlsx,0.657,3.6,17.352568310849414
30.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,25.0,0.0,0.0,3.1,340.0,6.43e-11,65.6098,data.xlsx,0.67,3.6,16.23161793429124
25.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,15.0,25.0,0.0,0.0,3.16,334.0,2.61e-11,70.43405,data.xlsx,0.6830000000000002,3.6,15.110667557733068
20.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,25.0,0.0,0.0,3.23,338.0,2.37e-11,71.3989,data.xlsx,0.6960000000000001,3.6,13.989717181174896
15.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,25.0,0.0,0.0,3.38,355.0,3.81e-11,71.3989,data.xlsx,0.7090000000000001,3.6,12.868766804616726
10.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,30.0,25.0,0.0,0.0,3.5,230.0,1.69e-11,75.2583,data.xlsx,0.722,3.6,11.747816428058554
5.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,25.0,0.0,0.0,3.61,201.0,1.72e-11,74.29345,data.xlsx,0.735,3.6,10.626866051500382
42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.2,10.8,0.0,3.0,384.0,7.65e-07,41.67,data.xlsx,0.4792800000000001,5.1080000000000005,24.43621475173748
41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7,20.8,0.0,3.26,444.0,4.23e-07,42.14,data.xlsx,0.48608000000000007,5.207999999999999,24.300807465924937
40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,30.7,0.0,3.63,527.0,1.81e-07,43.02,data.xlsx,0.49298000000000003,5.307,24.148401027476638
42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,40.3,0.0,3.86,613.0,2.6e-08,43.96,data.xlsx,0.49666,5.403,24.329540903373882
38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,52.4,0.0,4.26,713.0,1.43e-09,47.18,data.xlsx,0.50952,5.524,23.65967344178076
33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.9,0.0,4.7,795.0,1.32e-06,37.16,data.xlsx,0.52718,5.6690000000000005,22.611218836565104
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,0.0,3.088,473.2,,,data.xlsx,0.48200000000000004,5.1,24.09047038214987
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,3.616,412.5,,,data.xlsx,0.51,5.3,22.246522196763298
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.0,0.0,3.4,350.8,,,data.xlsx,0.504,5.2,22.2945331707002
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,10.0,0.0,3.092,318.2,,,data.xlsx,0.49800000000000005,5.1,22.342544144637095
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,2.891,286.6,,,data.xlsx,0.49200000000000005,5.0,22.390555118573992
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,10.0,0.0,3.163,267.2,,,data.xlsx,0.514,5.1,20.594617907124317
10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,77.2,0.0,0.0,3.19,237.0,,34.7346,data.xlsx,0.5854400000000001,4.488,16.82294486757434
15.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,0.0,72.9,0.0,0.0,2.95,245.0,,35.69945,data.xlsx,0.57408,4.516,17.81020723970431
20.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.0,68.6,0.0,0.0,2.92,256.0,,36.6643,data.xlsx,0.56272,4.544,18.79746961183428
10.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,75.0,0.0,0.0,3.02,233.0,,35.69945,data.xlsx,0.596,4.4,16.466861499828788
15.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,70.8,0.0,0.0,2.99,240.0,,36.6643,data.xlsx,0.58416,4.4319999999999995,17.470309479583555
20.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,66.7,0.0,0.0,2.96,260.0,,38.594,data.xlsx,0.57184,4.468,18.489943066963125
15.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,68.0,0.0,0.0,2.98,266.0,,36.6643,data.xlsx,0.5976,4.32,17.017112466089223
20.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,64.0,0.0,0.0,2.95,277.0,,38.594,data.xlsx,0.5848,4.36,18.052931661093588
15.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,0.0,63.8,0.0,0.0,2.97,268.0,,40.5237,data.xlsx,0.61776,4.152,16.33731694584772
20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,60.0,0.0,0.0,2.95,274.0,,38.594,data.xlsx,0.6040000000000001,4.2,17.405507356101683
50.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.8,0.0,4.02,680.0,8.53e-08,41.48855,data.xlsx,0.48955999999999994,5.497999999999999,25.682271468144044
38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.3,0.0,4.55,662.0,1.66e-06,36.6643,data.xlsx,0.51486,5.6129999999999995,23.61694367497692
33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.4,0.0,4.75,760.0,2.4e-05,31.84005,data.xlsx,0.52608,5.664000000000001,22.70101569713758
29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.7,0.0,5.0,721.0,7.74e-07,39.55885,data.xlsx,0.53554,5.707000000000001,21.92876269621422
18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.3,0.0,5.68,735.0,8.04e-10,55.9613,data.xlsx,0.5588599999999999,5.813,20.02506925207756
56.8,0.0,0.0,0.0,0.0,43.2,0.0,0.0,0.0,0.0,0.0,0.0,2.35,263.0,2.39e-11,87.80135,data.xlsx,0.54416,3.272,20.41551246537396
50.1,0.0,0.0,0.0,0.0,41.7,0.0,0.0,0.0,0.0,8.1,0.0,2.75,323.0,1.19e-10,82.01225,data.xlsx,0.5564564564564565,3.411411411411411,19.439037375325466
42.0,0.0,0.0,0.0,0.0,41.6,0.0,0.0,0.0,0.0,16.3,0.0,3.25,387.0,4.7e-09,69.4692,data.xlsx,0.5741341341341343,3.4974974974974975,17.9978223837873
30.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,30.0,0.0,3.75,426.0,1.37e-07,57.891,data.xlsx,0.598,3.7,16.0803324099723
20.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,4.4,450.0,1.38e-06,50.1722,data.xlsx,0.62,3.8,14.284395198522622
10.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,50.0,0.0,4.99,393.0,1.88e-06,50.1722,data.xlsx,0.6419999999999999,3.9,12.488457987072945
60.1,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.0,0.0,0.0,0.0,2.43,161.0,1.05e-12,96.485,data.xlsx,0.63536,3.404,21.193755651193182
48.8,0.0,0.0,0.0,0.0,0.0,0.0,39.3,0.0,0.0,11.9,0.0,2.84,221.0,7.32e-12,88.7662,data.xlsx,0.6577,3.5470000000000006,19.258579589567617
38.6,0.0,0.0,0.0,0.0,0.0,0.0,39.2,0.0,0.0,22.2,0.0,3.21,290.0,1.63e-09,67.53949999999999,data.xlsx,0.6797199999999999,3.6539999999999995,17.442429131774375
28.5,0.0,0.0,0.0,0.0,0.0,0.0,38.4,0.0,0.0,33.11,0.0,3.78,417.0,5.08e-09,61.7504,data.xlsx,0.6985701429857014,3.7952204779522045,15.75426777118318
18.6,0.0,0.0,0.0,0.0,0.0,0.0,39.1,0.0,0.0,42.3,0.0,4.23,457.0,1.67e-08,56.92615,data.xlsx,0.7232999999999999,3.859,13.866260206760453
8.9,0.0,0.0,0.0,0.0,0.0,0.0,39.3,0.0,0.0,51.8,0.0,4.81,389.0,6.4e-09,59.8207,data.xlsx,0.74548,3.9459999999999997,12.092790115883409
40.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.4,513.0,2.97e-09,66.3,data.xlsx,0.7190000000000001,2.9,15.172948897533884
40.0,25.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,25.0,4.15,543.0,3.74e-10,69.0,data.xlsx,0.6835,3.35,16.676169298116882
40.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,3.94,593.0,6.19e-11,73.0,data.xlsx,0.648,3.8,18.179389698699882
40.0,15.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,15.0,3.72,649.0,8.85e-12,74.7,data.xlsx,0.6125,4.25,19.682610099282883
40.0,10.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0,3.53,686.0,6.12e-13,81.2,data.xlsx,0.577,4.7,21.18583049986588
40.0,5.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,5.0,3.33,714.0,5.62e-14,85.9,data.xlsx,0.5415000000000001,5.15,22.689050900448883
40.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,2.91,579.0,1.94e-13,105.7,data.xlsx,0.602,2.9,15.4654963790623
40.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,25.0,2.99,607.0,6.93e-13,96.9,data.xlsx,0.586,3.35,16.919958866057232
40.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,3.1,637.0,1.58e-12,90.7,data.xlsx,0.57,3.8,18.374421353052163
40.0,0.0,0.0,0.0,0.0,15.0,30.0,0.0,0.0,0.0,0.0,15.0,3.13,658.0,1.27e-12,88.1,data.xlsx,0.5539999999999999,4.25,19.82888384004709
40.0,0.0,0.0,0.0,0.0,10.0,40.0,0.0,0.0,0.0,0.0,10.0,3.16,681.0,9.7e-13,85.4,data.xlsx,0.5379999999999999,4.7,21.28334632704202
40.0,0.0,0.0,0.0,0.0,5.0,50.0,0.0,0.0,0.0,0.0,5.0,3.2,701.0,1.75e-13,87.9,data.xlsx,0.522,5.15,22.737808814036953
40.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,3.15,751.0,2.75e-11,54.3,data.xlsx,0.5059999999999999,5.6,24.19227130103188
40.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,2.93,576.0,7.88e-13,88.8,data.xlsx,0.68,2.9,15.234456431716245
40.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,0.0,0.0,0.0,25.0,3.01,611.0,1.42e-12,85.1,data.xlsx,0.6509999999999999,3.35,16.727425576602183
40.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,20.0,3.06,645.0,1.61e-12,82.9,data.xlsx,0.622,3.8,18.220394721488123
40.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,0.0,0.0,0.0,15.0,3.08,671.0,1.19e-12,82.1,data.xlsx,0.5930000000000001,4.25,19.71336386637406
40.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,0.0,0.0,0.0,10.0,3.1,712.0,5.61e-13,83.1,data.xlsx,0.564,4.7,21.20633301126
40.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,0.0,0.0,0.0,5.0,3.13,731.0,2.37e-13,79.6,data.xlsx,0.535,5.15,22.699302156145947
40.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.4,513.0,2.97e-09,66.3,data.xlsx,0.7190000000000001,2.9,15.172948897533884
40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,4.41,557.0,6.95e-10,67.1,data.xlsx,0.6844999999999999,3.35,16.6191933333558
40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,4.45,600.0,1.16e-10,71.8,data.xlsx,0.65,3.8,18.065437769177716
40.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,4.42,651.0,1.35e-11,75.6,data.xlsx,0.6155,4.25,19.51168220499963
40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,4.45,729.0,2.61e-11,60.9,data.xlsx,0.581,4.7,20.957926640821544
40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,4.44,800.0,5.62e-09,47.4,data.xlsx,0.5465000000000001,5.15,22.40417107664346
40.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,2.91,579.0,1.94e-13,105.7,data.xlsx,0.602,2.9,15.4654963790623
40.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,10.0,25.0,3.04,609.0,6.73e-14,103.7,data.xlsx,0.5870000000000001,3.35,16.86298290129615
40.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,3.2,614.0,9.34e-15,104.2,data.xlsx,0.5720000000000001,3.8,18.260469423529994
40.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,30.0,15.0,3.37,642.0,1.99e-13,72.1,data.xlsx,0.557,4.25,19.657955945763838
40.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,10.0,3.69,716.0,1.3e-10,56.1,data.xlsx,0.5419999999999999,4.7,21.055442467997683
40.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,50.0,5.0,3.94,741.0,1e-08,47.0,data.xlsx,0.527,5.15,22.45292899023153
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,4.41,793.0,4.26e-06,35.6,data.xlsx,0.512,5.6,23.850415512465375
40.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,2.93,576.0,7.88e-13,88.8,data.xlsx,0.68,2.9,15.234456431716245
40.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,10.0,25.0,3.26,615.0,1.44e-12,85.2,data.xlsx,0.652,3.35,16.6704496118411
40.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,3.54,651.0,1.53e-12,83.8,data.xlsx,0.6239999999999999,3.8,18.106442791965957
40.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,30.0,15.0,3.79,689.0,5.84e-13,84.3,data.xlsx,0.596,4.25,19.54243597209081
40.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,40.0,10.0,4.04,749.0,1.79e-11,60.5,data.xlsx,0.568,4.7,20.978429152215668
40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,50.0,5.0,4.24,774.0,1.29e-08,46.9,data.xlsx,0.54,5.15,22.414422332340518
